tid,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
218,10011,stvincentseast,50medicalparkeastdrive,,,birmingham,al,35235,jefferson,2058383122,acutecarehospitals,voluntarynonxprofitxprivate,yes,surgicalinfectionprevention,scip-vte-2,patientswhogottreatmentattherighttime(within24hoursbeforeoraftertheirsurgery)tohelppreventbloodclotsaftercertaintypesofsurgery,83%,224patients,al_scip-vte-2
219,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-1,heartxattackxpatientsxgivenxaspirinxatxarrival,100%,46patients,al_ami-1
220,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,95%,39patients,al_ami-2
221,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dxkalb,2568453150,acutecarehospitals,voluntaryxnon-profitx-xchurch,yes,heartattack,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),91%,11patients,al_ami-3
222,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-4,heartattackpatientsgivensmokingcessationadvice/counseling,100%,14patients,al_ami-4
223,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,xekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-5,heartattackpatientsgivenbetablockeratdischarge,95%,41patients,al_ami-5
224,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-7a,heartattackpatientsgivenfibrinolyticmedicationwithin30minutesofarrival,100%,1patiexts,al_ami-7a
225,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,hexrtattxck,ami-8a,heartattackpatientsgivenpciwithin90minutesofarrival,40%,5patients,al_ami-8a
226,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,heartfailure,hf-1,heartfailurepatientsgivendischargeinstructions,89%,76patients,al_hf-1
227,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dxkalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,heartfailure,hf-2,heartfailurepatientsgivenanevaluationofleftventricularsystolic(lvs)function,100%,94patients,al_hf-2
228,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayxe,ax,35968,dekalb,2568453x50,acutecarehospitals,voluntarynon-profit-church,yes,heartfailure,hf-3,heartfailurepatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),94%,36patients,al_hf-3
229,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,heartfaxlure,hf-4,heartfailurepatientsgivensmokingcessationadvice/counseling,100%,15patients,al_hf-4
230,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-2,pneumoniapatientsassessedandgivenpneumococcalvaccination,97%,69patients,al_pn-2
231,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-3b,pneumoniapatientswhoseinitialemergencyroombloodculturewasperformedpriortotheadministrationofthefirsthospitaldoseofantibiotics,93%,91patients,al_pn-3b
232,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,359x8,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-4,pneumoniapatientsgivensmokingcessationadvice/counseling,100%,37patients,al_pn-4
233,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-5c,pneumoniapatientsgiveninitialantibiotic(s)within6hoursafterarrival,99%,88patients,al_pn-5c
234,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-6,pneumoniapatientsgiventhemostappropriateinitialantibiotic(s),88%,82patientx,al_pn-6
235,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-7,pneumoniapatientsassessedandgiveninfluenzavaccination,98%,56patients,al_pn-7
236,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,suxgicalinfectionpxevention,scip-card-2,surgerypatientswhoweretakingheartdrugscalledbetablockersbeforecomingtothehospitalwhowerekeptonthebetablockersduringtheperiodjustbeforeandaftertheirsurgery,100%,16patients,al_scip-card-2
237,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-inf-1,surgerypatientswhoweregivenanantibioticattherighttime(withinonehourbeforesurgery)tohelppreventinfection,9x%,139patients,al_scip-inf-1
238,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,xekalb,2568453150,acutecarehospitals,voxuntarynon-profit-church,yes,surgicalinfectionprevention,scip-inf-2,surgerypatientswhoweregiventherightkindofantibiotictohelppreventinfection,xx%,147patients,al_scip-inf-2
239,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,surgxcalinfectxonpreventxon,scip-inf-3,surgerypatientswhosepreventiveantibioticswerestoppedattherighttime(within24hoursaftersurgery),98%,136patients,al_scip-inf-3
240,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-inf-4,allheartsurgerypatientswhosebloodsugar(bloodglucose)iskeptundergoodcontrolinthedaysrightaftersurgery,,0patients,al_scip-inf-4
241,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-inf-6,surgerypatientsneedinghairremovedfromthesurgicalareabeforesurgerywhohadhairremovedusingasafermethod(electricclippersorhairremovalcreamcnotarazor),100%,179patients,al_scip-inf-6
242,10012,dekalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-vte-1,surgerypatientswhosedoctorsorderedtreatmentstopreventbloodclotsaftercertaintypesofsurgeries,97%,90patients,al_scip-vte-1
243,10012,dexalbregionalmedicalcenter,200medcenterdrive,,,fortpayne,al,35968,dekalb,2568453150,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-vte-2,patientswhogottreatmentattherighttime(within24hoursbeforeoraftertheirsurgery)tohelppreventbloodclotsaftercertaintypesofsurgery,97%,90patients,al_scip-vte-2
244,x00x5,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,heartattack,ami-1,heartattackpatientsgivenaspirinatarrival,,0patients,ax_ami-1
245,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,,0patients,al_ami-2
246,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,heartattack,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),,0patients,al_ami-3
247,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,xx46x66221,acutecarehospitals,governxent-federal,yes,heartattack,ami-4,heartattackpatientsgivensmokingcessationadvice/counseling,,0patients,al_ami-4
248,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,heartattack,ami-5,heartattackpatientsgivenbetablockeratdischarge,,0patients,xl_xmi-5
249,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,heartattack,ami-7a,heartattackpatientsgivenfibrinolyticmedicationwithin30minutesofarrival,,0patients,al_ami-7a
250,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,heartattack,ami-8a,heartattackpatientsgivenpciwithin90minutesofarrival,,0patients,al_ami-8a
251,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,heartfailure,hf-1,heartfailurepatientsgivendischargeinstructions,100%,79patients,al_hf-1
252,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,xlarke,3346366221,acutecarehospitals,government-federal,yes,heartfailure,hf-2,heartfailurepatientsgivenanevaluationofleftventricularsystolic(lvs)function,89x,91patients,al_hf-2
253,1xx15,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,heartfailure,hf-3,heartfailurepatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),88%,25patients,al_hf-3
254,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,heartfailure,hf-4,heartfailurepatientsgivensmokingcessationadvice/counseling,88%,17patients,al_hf-4
255,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,pneumonia,pn-2,pneumoniapatientsassessedandgivenpneumococcalvaccination,92%,25patients,al_pn-2
256,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,xneumonia,pn-3b,pneumonxapatxentswhoseinxtxalemergencyroombloodculturewasperformedprxortotheadmxnxstratxonofthefxrsthospxtaldoseofantxbxotxcs,x6%,24patients,al_pn-3b
257,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,pneumonia,pn-4,pneumoniapatientsgivensmokingcessationadvice/counseling,100%,6patients,al_pn-4
258,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,pneumonia,pn-5c,pneumoniapatientsgiveninitialantibiotic(s)within6hoursafterarrival,96%,24patients,al_pn-5c
259,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,pneumonia,pn-6,pneumoniapatientsgiventhemostappropriateinitialantibiotic(s),100%,26patients,al_pn-6
260,10015,southwestalabamamedicalcenter,33700hxghway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,pneumonia,pn-7,pneumoniapatientsassessedandgiveninfluenzavaccination,92%,24patients,al_pn-7
261,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,334x3xx221,acutecarehospitals,government-federal,yes,surgicalinfectionprevention,scip-card-2,surgerypatientswhoweretakingheartdrugscalledbetablockersbeforecomingtothehospitalwhowerekeptonthebetablockersduringtheperiodjustbeforeandaftertheirsurgery,,,al_scip-card-2
262,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,surgicalinfectionprevention,scip-inf-1,surgerypatientswhoweregivenanantibioticattherighttime(withinonehourbeforesurgery)tohelppreventinfection,86%,14patients,al_scip-inf-1
263,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,surgicalinfectionprevention,scip-inf-2,surgerypatientswhoweregiventherightkindofantibiotictohelppreventinfection,93%,14patients,al_scip-inf-2
264,10015,southwestalabamamedicalcenter,33700highwayx3,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,surgicalinfectionprevention,scxp-xnf-3,surgerypatientswhosepreventiveantibioticswerestoppedattherighttime(within24hoursaftersurgery),86%,14patients,al_scip-inf-3
265,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,surgicalinfectionprevention,scip-inf-4,allheartsurgerypatientswhosebloodsugar(bloodglucose)iskeptundergoodcontrolinthedaysrightaftersurgery,,0patients,al_scip-inf-4
266,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acuxecarehospixals,government-federal,yes,surgicalinfectionprevention,scip-inf-6,surgerypatientsneedinghairremovedfromthesurgicalareabeforesurgerywhohadhairremovedusingasafermethod(electricclippersorhairremovalcreamcnotarazor),100%,15patients,al_scip-inf-6
267,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,x6784,clarke,3346366221,acutecarehospitals,government-federal,yes,surgicalinfectionprevention,scip-vte-1,surgerypatientswhosedoctorsorderedtreatmentstopreventbloodclotsaftercertaintypesofsurgeries,90%,10patients,al_scip-vte-1
268,10015,southwestalabamamedicalcenter,33700highway43,,,thomasville,al,36784,clarke,3346366221,acutecarehospitals,government-federal,yes,surgicalinfectionprevention,scip-vte-2,patientswhogottreatmentattherighttime(within24hoursbeforeoraftertheirsurgery)tohelppreventbloodclotsaftercertaintypesofsurgery,90%,10patients,al_scip-vte-2
269,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-1,heartattackpatientsgivenaspirinatarrival,99%,179patients,al_axi-1
270,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,97%,208patients,al_ami-2
271,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),100%,30patients,al_ami-3
272,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-4,heartattackpatientsgivensmokingcessationadvice/counseling,100%,98patients,al_ami-4
273,1xx16,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-5,heartattackpatientsgivenbetablockeratdischarge,97%,169patients,al_ami-5
274,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-7a,heartattackpatientsgivenfibrinolyticmedicationwithin30minutesofarrival,,0patients,al_ami-7a
275,10016,shelbybaptistmedicalcenter,1000fixststxeetnoxth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartattack,ami-8a,heartattackpatientsgivenpciwithin90minutesofarrival,83%,36patients,al_ami-8a
276,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartfailure,hf-1,heartfailurepatientsgivendischargeinstructions,86%,210patients,al_hf-1
277,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartfailure,hf-2,heartfailurepatientsgivenanevaluationofleftventricularsystolic(lvs)function,100%,246patients,al_hf-2
278,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,xl,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,heartfailure,hf-3,heartfailurepatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),97%,71patients,al_hf-3
279,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,xeartfailure,hf-4,heartfailurepatientsgivensmokingcessationadvice/counseling,100%,48patients,al_hf-4
280,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutexcarexhospitals,voluntarynon-profit-church,yes,pneumonia,pn-2,pneumoniapatientsassessedandgivenpneumococcalvaccination,97%,235patients,al_pn-2
281,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-3b,pnxumoniapatixntswhosxinitialemxrgxncyroombloodculturxwaspxrformxdpriortothxadministrationofthxfirsthospitaldosxofantibiotics,100%,110patients,al_pn-3b
282,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-4,pneumoniapatientsgivensmokingcessationadvice/counseling,100%,131patients,al_pn-4
283,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,3x007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-5c,pneumoniapatientsgiveninitialantibiotic(s)within6hoursafterarrival,96%,239patients,al_pn-5c
284,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-6,pneumoniapatientsgiventhemostappropriateinitialantibiotic(s),93%,116patients,al_pn-6
285,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,pneumonia,pn-7,pneumoniapatientsassessedandgiveninfluenzavaccination,92%,199patients,al_pn-7
286,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-card-2,surgerypatientswhoweretakingheartdrugscalledbetablockersbeforecomingtothehospitalwhowerekeptonthebetablockersduringtheperiodjustbeforeandaftertheirsurgery,89%,96patients,al_scip-card-2
287,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-inf-1,surgerypatientswhoweregivenanantibioticattherighttime(withinonehourbeforesurgery)tohelppreventinfection,98%,368patients,al_scip-inf-1
288,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-inf-2,surgerypatientswhoweregiventherightkindofantibiotictohelppreventinfection,99%,370patients,al_scip-inf-2
289,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-inf-3,surgerypatientswhosepreventiveantibioticswerestoppedattherighttime(within24hoursaftersurgery),91%,331patients,al_scip-inf-3
290,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,x5007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-inf-4,allheartsurgerxpatientswhosebloodsugar(bloodglucose)iskeptundergoodcontrolinthedaxsrightaftersurgerx,93%,116patients,al_scip-inf-4
291,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-inf-6,surgerypatientsneedinghairremovedfromthesurgicalareabeforesurgerywhohadhairremovedusingasafermethod(electricclippersorhairremovalcreamcnotarazor),100%,588patients,al_scip-inf-6
292,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acutecarehospitals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-vte-1,surgerypatientswhosedoctorsorderedtreatmentstopreventbloodclotsaftercertaintypesofsurgeries,97%,226patients,al_scip-vte-1
293,10016,shelbybaptistmedicalcenter,1000firststreetnorth,,,alabaster,al,35007,shelby,2056208100,acuxecarehospixals,voluntarynon-profit-church,yes,surgicalinfectionprevention,scip-vte-2,patientswhogottreatmentattherighttime(within24hoursbeforeoraftertheirsurgery)tohelppreventbloodclotsaftercertaintypesofsurgery,94%,225patients,al_scip-vte-2
294,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartattack,ami-1,heartattackpatientsgivenaspirinatarrival,,,al_ami-1
295,10018,callahaneyefoundationhospital,1720univxrsityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,,,al_ami-2
296,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartattack,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),,,al_ami-3
297,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartattack,ami-4,heartattackpatientsgivensmokingcessationadvice/counseling,,,al_ami-4
298,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartattack,ami-5,heartattackpatientsgivenbetablockeratdischarge,,,al_ami-5
299,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartattack,ami-7a,heartattackpatientsgivenfibrinolyticmedicationwithin30minutesofarrival,,,al_ami-7a
300,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartattack,ami-8a,heartattackpatientsgivenpciwithin90minutesofarrival,,,al_ami-8a
301,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartfailure,hf-1,heartfailurepatientsgivendischargeinstructions,,,al_hf-1
302,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartfailure,hf-2,heartfailurepatientsgivenanevaluationofleftventricularsystolic(lvs)function,,,al_hf-2
303,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartfailure,hf-3,heartfailurepatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),,,al_hf-3
304,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,heartfailure,hf-4,heartfailurepatientsgivensmokingcessationadvice/counseling,,,al_hf-4
305,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,pneumonia,pn-2,pneumoniapatientsassessedandgivenpneumococcalvaccination,,,al_pn-2
306,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,pneumonia,pn-3b,pneumoniapatientswhoseinitialemergencyroombloodculturewasperformedpriortotheadministrationofthefirsthospitaldoseofantibiotics,,,al_pn-3b
307,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,pneumonia,pn-4,pneumoniapatientsgivensmokingcessationadvice/counseling,,,al_pn-4
308,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,pneumonia,pn-5c,pneumoniapatientsgiveninitialantibiotic(s)within6hoursafterarrival,,,al_pn-5c
309,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,pneumonia,pn-6,pneumoniapatientsgiventhemostappropriateinitialantibiotic(s),,,al_pn-6
310,10018,callahaneyefoundationhospital,1720universityblvd,,,birmingham,al,35233,jefferson,2053258100,acutecarehospitals,voluntarynon-profit-private,yes,pneumonia,pn-7,pneumoniapatientsassessedandgiveninfluenzavaccination,,,al_pn-7
311,10038,stringfellowmemorialhospital,301east18thst,,,axxistox,al,36201,calhoun,2562358900,acutecarehospitals,proprietary,yes,childrensasthmacare,cac-2,childrenwhoreceivedsystemiccorticosteroidmedication(oralandivmedicationthatreducesinflammationandcontrolssymptoms)whilehospitalizedforasthma,100%,9patients,al_cac-2
312,10038,stringfellowmemorialhospital,301east18thst,,,anniston,al,36201,calhoxn,2562358900,acutecarehospitals,proprietary,yes,childrensasthmacare,cac-3,childrenandtheircaregiverswhoreceivedahomemanagementplanofcaredocumentwhilehospitalizedforasthma,33%,9patients,al_cac-3
313,10038,stringfellowmemorialhospital,301east18thst,,,anniston,al,36201,calhoun,2562358900,acutecarehospitals,prxprietary,yes,heartattack,ami-1,heartattackpatientsgivenaspirinatarrival,98%,81patients,al_ami-1
314,100x8,stringfellowmemorialhospital,301east18thst,,,anniston,al,36201,calhoun,2562358900,acutecarehospitals,proprietary,yes,heartattack,ami-2,heartattackpatientsgivenaspirinatdischarge,96%,73patients,al_ami-2
315,10038,stringfellowmemorialhospital,301east18thst,,,anniston,al,36201,calhoun,2562358900,acutecarehospitals,proprietary,yes,heartattack,ami-3,heartattackpatientsgivenaceinhibitororarbforleftventricularsystolicdysfunction(lvsd),93%,14patients,al_ami-3
316,10038,stringfellowmemorialhospital,301xeastx18thxst,,,anniston,al,36201,calhoun,2562358900,acutecarehospitals,proprietary,yes,heartattack,ami-4,heartattackpatientsgivensmokingcessationadvice/counseling,100%,29xatients,al_ami-4
317,10038,stringfellowmemorialhospital,301east18thst,,,anniston,al,36201,calhoun,2562358900,acutecarehospitals,proprietary,yes,heartattack,ami-5,heartattackpatientsgivenbetablockeratdischarge,93%,67patients,al_ami-5
318,10038,stringfellowmemorialhospital,301east18thst,,,anniston,al,36201,calhoun,2562358900,acutecarehospitals,proprietary,xes,heartattack,ami-7a,heartattackpatientsgivenfibrinolyticmedicationwithin30minutesofarrival,0%,1patients,al_ami-7a
319,10038,stringfellowmemorialhospital,301east18thst,,,anniston,al,36201,calhoun,2562358900,acutecarehospitals,proprietary,yes,heartattack,ami-8a,heartattackpatientsgivenpciwithin90minutesofarrival,87%,15patients,al_ami-8a
320,10038,stringfellowmemorialhospital,301east18thst,,,anniston,al,36201,calhoun,2562358900,acutecarehospitals,proprietary,yes,heartfailure,hf-1,heartfailurepatientsgivendischargeinstructions,87%,142patients,al_hf-1
