index,attribute,correct_val
401,ibu,""
401,brewery_id,10
401,brewery-name,Brewery Vivant
401,city,Grand Rapids
401,state,MI
402,id,2467
402,beer-name,Acidulated Trip
402,style,Saison / Farmhouse Ale
402,ounces,16
402,abv,0.059
402,ibu,""
402,brewery_id,10
402,brewery-name,Brewery Vivant
402,city,Grand Rapids
402,state,MI
403,id,2466
403,beer-name,Root Stock
403,style,Rye Beer
403,ounces,16
403,abv,0.066
403,ibu,""
403,brewery_id,10
403,brewery-name,Brewery Vivant
403,city,Grand Rapids
403,state,MI
404,id,2465
404,beer-name,Mind Games
404,style,Dunkelweizen
404,ounces,16
404,abv,0.041
404,ibu,""
404,brewery_id,10
404,brewery-name,Brewery Vivant
404,city,Grand Rapids
404,state,MI
405,id,2433
405,beer-name,Sous Chef
405,style,Belgian Strong Pale Ale
405,ounces,16
405,abv,0.082
405,ibu,""
405,brewery_id,10
405,brewery-name,Brewery Vivant
405,city,Grand Rapids
405,state,MI
406,id,2418
406,beer-name,Dubbelicious
406,style,Dubbel
406,ounces,16
406,abv,0.065
406,ibu,""
406,brewery_id,10
406,brewery-name,Brewery Vivant
406,city,Grand Rapids
406,state,MI
407,id,2416
407,beer-name,Psychopomp
407,style,Belgian Dark Ale
407,ounces,16
407,abv,0.062
407,ibu,""
407,brewery_id,10
407,brewery-name,Brewery Vivant
407,city,Grand Rapids
407,state,MI
408,id,2382
408,beer-name,Fat Paczki
408,style,Belgian Dark Ale
408,ounces,16
408,abv,""
408,ibu,""
408,brewery_id,10
408,brewery-name,Brewery Vivant
408,city,Grand Rapids
408,state,MI
409,id,2381
409,beer-name,Earth-Like Planets
409,style,Belgian Pale Ale
409,ounces,16
409,abv,""
409,ibu,""
409,brewery_id,10
409,brewery-name,Brewery Vivant
409,city,Grand Rapids
409,state,MI
410,id,2290
410,beer-name,Ski Patrol
410,style,Witbier
410,ounces,16
410,abv,0.061
410,ibu,""
410,brewery_id,10
410,brewery-name,Brewery Vivant
410,city,Grand Rapids
410,state,MI
411,id,2241
411,beer-name,Viking Ice Hole
411,style,Oatmeal Stout
411,ounces,16
411,abv,0.063
411,ibu,""
411,brewery_id,10
411,brewery-name,Brewery Vivant
411,city,Grand Rapids
411,state,MI
412,id,2240
412,beer-name,Rye Porter
412,style,American Porter
412,ounces,16
412,abv,0.056
412,ibu,""
412,brewery_id,10
412,brewery-name,Brewery Vivant
412,city,Grand Rapids
412,state,MI
413,id,2137
413,beer-name,Wizard Burial Ground
413,style,Quadrupel (Quad)
413,ounces,16
413,abv,0.099
413,ibu,""
413,brewery_id,10
413,brewery-name,Brewery Vivant
413,city,Grand Rapids
413,state,MI
414,id,2101
414,beer-name,Smoky Wheat
414,style,Rauchbier
414,ounces,16
414,abv,0.051
414,ibu,""
414,brewery_id,10
414,brewery-name,Brewery Vivant
414,city,Grand Rapids
414,state,MI
415,id,2092
415,beer-name,BRIPA
415,style,Belgian IPA
415,ounces,16
415,abv,0.062
415,ibu,""
415,brewery_id,10
415,brewery-name,Brewery Vivant
415,city,Grand Rapids
415,state,MI
416,id,2091
416,beer-name,Mela
416,style,Belgian Dark Ale
416,ounces,16
416,abv,0.062
416,ibu,""
416,brewery_id,10
416,brewery-name,Brewery Vivant
416,city,Grand Rapids
416,state,MI
417,id,2086
417,beer-name,W.I.P.A Snappa
417,style,Belgian IPA
417,ounces,16
417,abv,0.053
417,ibu,""
417,brewery_id,10
417,brewery-name,Brewery Vivant
417,city,Grand Rapids
417,state,MI
418,id,2023
418,beer-name,Pepper in the Rye
418,style,Rye Beer
418,ounces,16
418,abv,0.063
418,ibu,""
418,brewery_id,10
418,brewery-name,Brewery Vivant
418,city,Grand Rapids
418,state,MI
419,id,2006
419,beer-name,Moe Lasses'
419,style,American Stout
419,ounces,16
419,abv,0.064
419,ibu,""
419,brewery_id,10
419,brewery-name,Brewery Vivant
419,city,Grand Rapids
419,state,MI
420,id,1997
420,beer-name,Pumpkin Tart
420,style,Fruit / Vegetable Beer
420,ounces,16
420,abv,0.07
420,ibu,""
420,brewery_id,10
420,brewery-name,Brewery Vivant
420,city,Grand Rapids
420,state,MI
421,id,1977
421,beer-name,Undertaker
421,style,Belgian Dark Ale
421,ounces,16
421,abv,0.067
421,ibu,""
421,brewery_id,10
421,brewery-name,Brewery Vivant
421,city,Grand Rapids
421,state,MI
422,id,1976
422,beer-name,Undertaker (2014)
422,style,Belgian Dark Ale
422,ounces,16
422,abv,0.067
422,ibu,""
422,brewery_id,10
422,brewery-name,Brewery Vivant
422,city,Grand Rapids
422,state,MI
423,id,1974
423,beer-name,Coq D'Or
423,style,Belgian Pale Ale
423,ounces,16
423,abv,0.05
423,ibu,""
423,brewery_id,10
423,brewery-name,Brewery Vivant
423,city,Grand Rapids
423,state,MI
424,id,1973
424,beer-name,North French
424,style,Bière de Garde
424,ounces,16
424,abv,0.06
424,ibu,""
424,brewery_id,10
424,brewery-name,Brewery Vivant
424,city,Grand Rapids
424,state,MI
425,id,1959
425,beer-name,Agent a Deux
425,style,Belgian Dark Ale
425,ounces,16
425,abv,0.065
425,ibu,""
425,brewery_id,10
425,brewery-name,Brewery Vivant
425,city,Grand Rapids
425,state,MI
426,id,1958
426,beer-name,Belgian Wit
426,style,Witbier
426,ounces,16
426,abv,0.045
426,ibu,""
426,brewery_id,10
426,brewery-name,Brewery Vivant
426,city,Grand Rapids
426,state,MI
427,id,1949
427,beer-name,Pothole Stout
427,style,American Stout
427,ounces,16
427,abv,0.063
427,ibu,""
427,brewery_id,10
427,brewery-name,Brewery Vivant
427,city,Grand Rapids
427,state,MI
428,id,1947
428,beer-name,Tree Bucket
428,style,Belgian IPA
428,ounces,16
428,abv,0.093
428,ibu,""
428,brewery_id,10
428,brewery-name,Brewery Vivant
428,city,Grand Rapids
428,state,MI
429,id,1785
429,beer-name,Le Flaneur Ale
429,style,American Wild Ale
429,ounces,16
429,abv,0.073
429,ibu,""
429,brewery_id,10
429,brewery-name,Brewery Vivant
429,city,Grand Rapids
429,state,MI
430,id,1651
430,beer-name,Maize & Blueberry
430,style,Fruit / Vegetable Beer
430,ounces,16
430,abv,0.056
430,ibu,""
430,brewery_id,10
430,brewery-name,Brewery Vivant
430,city,Grand Rapids
430,state,MI
431,id,1443
431,beer-name,Trebuchet Double IPA
431,style,American Double / Imperial IPA
431,ounces,16
431,abv,0.093
431,ibu,""
431,brewery_id,10
431,brewery-name,Brewery Vivant
431,city,Grand Rapids
431,state,MI
432,id,1352
432,beer-name,Contemplation
432,style,Bière de Garde
432,ounces,16
432,abv,0.065
432,ibu,""
432,brewery_id,10
432,brewery-name,Brewery Vivant
432,city,Grand Rapids
432,state,MI
433,id,1267
433,beer-name,Black Rabbit
433,style,American Black Ale
433,ounces,16
433,abv,0.05
433,ibu,""
433,brewery_id,10
433,brewery-name,Brewery Vivant
433,city,Grand Rapids
433,state,MI
434,id,1266
434,beer-name,Zaison
434,style,Saison / Farmhouse Ale
434,ounces,16
434,abv,0.09
434,ibu,""
434,brewery_id,10
434,brewery-name,Brewery Vivant
434,city,Grand Rapids
434,state,MI
435,id,1178
435,beer-name,Vivant Tripel
435,style,Tripel
435,ounces,16
435,abv,0.082
435,ibu,""
435,brewery_id,10
435,brewery-name,Brewery Vivant
435,city,Grand Rapids
435,state,MI
436,id,1136
436,beer-name,Tart Side of the Moon
436,style,Belgian Dark Ale
436,ounces,16
436,abv,0.098
436,ibu,""
436,brewery_id,10
436,brewery-name,Brewery Vivant
436,city,Grand Rapids
436,state,MI
437,id,1044
437,beer-name,Big Red Coq
437,style,American Amber / Red Ale
437,ounces,16
437,abv,0.06
437,ibu,""
437,brewery_id,10
437,brewery-name,Brewery Vivant
437,city,Grand Rapids
437,state,MI
438,id,1033
438,beer-name,Hubris Quadrupel Anniversary Ale
438,style,Quadrupel (Quad)
438,ounces,16
438,abv,0.099
438,ibu,""
438,brewery_id,10
438,brewery-name,Brewery Vivant
438,city,Grand Rapids
438,state,MI
439,id,1031
439,beer-name,Plow Horse Belgian Style Imperial Stout
439,style,American Double / Imperial Stout
439,ounces,16
439,abv,0.095
439,ibu,""
439,brewery_id,10
439,brewery-name,Brewery Vivant
439,city,Grand Rapids
439,state,MI
440,id,909
440,beer-name,Escoffier Bretta Ale
440,style,American Wild Ale
440,ounces,16
440,abv,0.092
440,ibu,""
440,brewery_id,10
440,brewery-name,Brewery Vivant
440,city,Grand Rapids
440,state,MI
441,id,873
441,beer-name,Contemplation (2012)
441,style,Bière de Garde
441,ounces,16
441,abv,0.065
441,ibu,""
441,brewery_id,10
441,brewery-name,Brewery Vivant
441,city,Grand Rapids
441,state,MI
442,id,860
442,beer-name,Vivant Belgian Style Imperial Stout (2012)
442,style,Russian Imperial Stout
442,ounces,16
442,abv,0.099
442,ibu,""
442,brewery_id,10
442,brewery-name,Brewery Vivant
442,city,Grand Rapids
442,state,MI
443,id,677
443,beer-name,Big Red Coq (2012)
443,style,American Amber / Red Ale
443,ounces,16
443,abv,0.062
443,ibu,""
443,brewery_id,10
443,brewery-name,Brewery Vivant
443,city,Grand Rapids
443,state,MI
444,id,671
444,beer-name,Zaison (2012)
444,style,Saison / Farmhouse Ale
444,ounces,16
444,abv,0.09
444,ibu,""
444,brewery_id,10
444,brewery-name,Brewery Vivant
444,city,Grand Rapids
444,state,MI
445,id,670
445,beer-name,Vivant Tripel (2012)
445,style,Tripel
445,ounces,16
445,abv,0.092
445,ibu,""
445,brewery_id,10
445,brewery-name,Brewery Vivant
445,city,Grand Rapids
445,state,MI
446,id,669
446,beer-name,Trebuchet Double IPA (2012)
446,style,Belgian IPA
446,ounces,16
446,abv,0.097
446,ibu,""
446,brewery_id,10
446,brewery-name,Brewery Vivant
446,city,Grand Rapids
446,state,MI
447,id,627
447,beer-name,Kludde
447,style,Belgian Strong Dark Ale
447,ounces,16
447,abv,0.085
447,ibu,""
447,brewery_id,10
447,brewery-name,Brewery Vivant
447,city,Grand Rapids
447,state,MI
448,id,387
448,beer-name,Farm Hand
448,style,Saison / Farmhouse Ale
448,ounces,16
448,abv,0.055
448,ibu,""
448,brewery_id,10
448,brewery-name,Brewery Vivant
448,city,Grand Rapids
448,state,MI
449,id,385
449,beer-name,Solitude
449,style,Belgian Pale Ale
449,ounces,16
449,abv,0.06
449,ibu,""
449,brewery_id,10
449,brewery-name,Brewery Vivant
449,city,Grand Rapids
449,state,MI
450,id,384
450,beer-name,Triomphe
450,style,Belgian IPA
450,ounces,16
450,abv,0.065
450,ibu,""
450,brewery_id,10
450,brewery-name,Brewery Vivant
450,city,Grand Rapids
450,state,MI
451,id,1096
451,beer-name,Tampa Pale Ale
451,style,American Pale Ale (APA)
451,ounces,12
451,abv,""
451,ibu,""
451,brewery_id,467
451,brewery-name,Brindle Dog Brewing Company
451,city,Tampa Bay
451,state,FL
452,id,1095
452,beer-name,Orange Grove Wheat Ale
452,style,American Pale Wheat Ale
452,ounces,12
452,abv,""
452,ibu,""
452,brewery_id,467
452,brewery-name,Brindle Dog Brewing Company
452,city,Tampa Bay
452,state,FL
453,id,2456
453,beer-name,Broad Brook Ale
453,style,American Amber / Red Ale
453,ounces,16
453,abv,0.061
453,ibu,""
453,brewery_id,89
453,brewery-name,Broad Brook Brewing LLC
453,city,East Windsor
453,state,CT
454,id,921
454,beer-name,Northern Lights Amber Ale
454,style,American Amber / Red Ale
454,ounces,12
454,abv,0.05
454,ibu,15
454,brewery_id,493
454,brewery-name,Broken Tooth Brewing Company
454,city,Anchorage
454,state,AK
455,id,920
455,beer-name,Polar Pale Ale
455,style,American Pale Ale (APA)
455,ounces,12
455,abv,0.052
455,ibu,17
455,brewery_id,493
455,brewery-name,Broken Tooth Brewing Company
455,city,Anchorage
455,state,AK
456,id,919
456,beer-name,Chugach Session Ale
456,style,Cream Ale
456,ounces,12
456,abv,0.048
456,ibu,""
456,brewery_id,493
456,brewery-name,Broken Tooth Brewing Company
456,city,Anchorage
456,state,AK
457,id,648
457,beer-name,Fairweather IPA
457,style,American IPA
457,ounces,12
457,abv,0.061
457,ibu,64
457,brewery_id,493
457,brewery-name,Broken Tooth Brewing Company
457,city,Anchorage
457,state,AK
458,id,1279
458,beer-name,East India Pale Ale
458,style,English India Pale Ale (IPA)
458,ounces,16
458,abv,0.068
458,ibu,47
458,brewery_id,437
458,brewery-name,Brooklyn Brewery
458,city,Brooklyn
458,state,NY
459,id,756
459,beer-name,Brooklyn Summer Ale
459,style,English Pale Mild Ale
459,ounces,12
459,abv,0.045
459,ibu,""
459,brewery_id,437
459,brewery-name,Brooklyn Brewery
459,city,Brooklyn
459,state,NY
460,id,566
460,beer-name,East India Pale Ale
460,style,English India Pale Ale (IPA)
460,ounces,12
460,abv,0.068
460,ibu,47
460,brewery_id,437
460,brewery-name,Brooklyn Brewery
460,city,Brooklyn
460,state,NY
461,id,328
461,beer-name,Brooklyn Summer Ale (2011)
461,style,English Pale Mild Ale
461,ounces,12
461,abv,0.045
461,ibu,""
461,brewery_id,437
461,brewery-name,Brooklyn Brewery
461,city,Brooklyn
461,state,NY
462,id,66
462,beer-name,Brooklyn Lager (16 oz.)
462,style,American Amber / Red Lager
462,ounces,16
462,abv,0.052
462,ibu,""
462,brewery_id,437
462,brewery-name,Brooklyn Brewery
462,city,Brooklyn
462,state,NY
463,id,65
463,beer-name,Brooklyn Lager (12 oz.)
463,style,American Amber / Red Lager
463,ounces,12
463,abv,0.052
463,ibu,""
463,brewery_id,437
463,brewery-name,Brooklyn Brewery
463,city,Brooklyn
463,state,NY
464,id,538
464,beer-name,Tour de Nez Belgian IPA (Current)
464,style,Belgian IPA
464,ounces,16
464,abv,0.08
464,ibu,""
464,brewery_id,530
464,brewery-name,Buckbean Brewing Company
464,city,Reno
464,state,NV
465,id,504
465,beer-name,Roler Bock (Current)
465,style,Maibock / Helles Bock
465,ounces,16
465,abv,""
465,ibu,""
465,brewery_id,530
465,brewery-name,Buckbean Brewing Company
465,city,Reno
465,state,NV
466,id,383
466,beer-name,Black Adder IBA (Current)
466,style,American Black Ale
466,ounces,16
466,abv,0.073
466,ibu,85
466,brewery_id,530
466,brewery-name,Buckbean Brewing Company
466,city,Reno
466,state,NV
467,id,29
467,beer-name,Very Noddy Lager (Current)
467,style,Schwarzbier
467,ounces,16
467,abv,0.099
467,ibu,""
467,brewery_id,530
467,brewery-name,Buckbean Brewing Company
467,city,Reno
467,state,NV
468,id,28
468,beer-name,Tule Duck Red Ale (Current)
468,style,American Amber / Red Ale
468,ounces,16
468,abv,0.062
468,ibu,42
468,brewery_id,530
468,brewery-name,Buckbean Brewing Company
468,city,Reno
468,state,NV
469,id,27
469,beer-name,Original Orange Blossom Ale (Current)
469,style,Herbed / Spiced Beer
469,ounces,16
469,abv,0.058
469,ibu,35
469,brewery_id,530
469,brewery-name,Buckbean Brewing Company
469,city,Reno
469,state,NV
470,id,26
470,beer-name,Black Noddy Lager (Current)
470,style,Schwarzbier
470,ounces,16
470,abv,0.052
470,ibu,40
470,brewery_id,530
470,brewery-name,Buckbean Brewing Company
470,city,Reno
470,state,NV
471,id,1627
471,beer-name,Cleveland Beer Week 2013
471,style,Munich Helles Lager
471,ounces,16
471,abv,0.053
471,ibu,""
471,brewery_id,357
471,brewery-name,Buckeye Brewing
471,city,Cleveland
471,state,OH
472,id,2552
472,beer-name,Painted Turtle
472,style,American Pale Ale (APA)
472,ounces,12
472,abv,0.045
472,ibu,""
472,brewery_id,56
472,brewery-name,BuckleDown Brewing
472,city,Lyons
472,state,IL
473,id,2125
473,beer-name,1836
473,style,American Blonde Ale
473,ounces,12
473,abv,0.06
473,ibu,40
473,brewery_id,214
473,brewery-name,Buffalo Bayou Brewing Company
473,city,Houston
473,state,TX
474,id,2124
474,beer-name,Summer's Wit
474,style,Witbier
474,ounces,12
474,abv,0.06
474,ibu,20
474,brewery_id,214
474,brewery-name,Buffalo Bayou Brewing Company
474,city,Houston
474,state,TX
475,id,2123
475,beer-name,More Cowbell
475,style,American Double / Imperial IPA
475,ounces,16
475,abv,0.09
475,ibu,118
475,brewery_id,214
475,brewery-name,Buffalo Bayou Brewing Company
475,city,Houston
475,state,TX
476,id,2608
476,beer-name,Wrath of Pele
476,style,American Brown Ale
476,ounces,16
476,abv,0.065
476,ibu,""
476,brewery_id,24
476,brewery-name,Burn 'Em Brewing
476,city,Michigan City
476,state,IN
477,id,2607
477,beer-name,Black Beer'd
477,style,American Black Ale
477,ounces,16
477,abv,0.068
477,ibu,""
477,brewery_id,24
477,brewery-name,Burn 'Em Brewing
477,city,Michigan City
477,state,IN
478,id,2606
478,beer-name,Mr. Tea
478,style,Fruit / Vegetable Beer
478,ounces,24
478,abv,0.078
478,ibu,""
478,brewery_id,24
478,brewery-name,Burn 'Em Brewing
478,city,Michigan City
478,state,IN
479,id,2478
479,beer-name,Pale Alement
479,style,American Pale Ale (APA)
479,ounces,12
479,abv,0.055
479,ibu,40
479,brewery_id,24
479,brewery-name,Burn 'Em Brewing
479,city,Michigan City
479,state,IN
480,id,2471
480,beer-name,Hopkick Dropkick
480,style,American Double / Imperial IPA
480,ounces,12
480,abv,0.099
480,ibu,115
480,brewery_id,24
480,brewery-name,Burn 'Em Brewing
480,city,Michigan City
480,state,IN
481,id,2470
481,beer-name,Kreamed Corn
481,style,Cream Ale
481,ounces,12
481,abv,0.06
481,ibu,""
481,brewery_id,24
481,brewery-name,Burn 'Em Brewing
481,city,Michigan City
481,state,IN
482,id,2464
482,beer-name,Coconoats
482,style,American Pale Wheat Ale
482,ounces,16
482,abv,0.065
482,ibu,""
482,brewery_id,24
482,brewery-name,Burn 'Em Brewing
482,city,Michigan City
482,state,IN
483,id,2160
483,beer-name,Joey Wheat
483,style,American Pale Wheat Ale
483,ounces,16
483,abv,0.068
483,ibu,16
483,brewery_id,24
483,brewery-name,Burn 'Em Brewing
483,city,Michigan City
483,state,IN
484,id,2158
484,beer-name,3:33 Black IPA
484,style,American IPA
484,ounces,16
484,abv,0.072
484,ibu,86
484,brewery_id,24
484,brewery-name,Burn 'Em Brewing
484,city,Michigan City
484,state,IN
485,id,2072
485,beer-name,MCA
485,style,American IPA
485,ounces,16
485,abv,0.068
485,ibu,""
485,brewery_id,24
485,brewery-name,Burn 'Em Brewing
485,city,Michigan City
485,state,IN
486,id,2054
486,beer-name,Pale Alement
486,style,American Pale Ale (APA)
486,ounces,16
486,abv,0.055
486,ibu,40
486,brewery_id,24
486,brewery-name,Burn 'Em Brewing
486,city,Michigan City
486,state,IN
487,id,2196
487,beer-name,Couch Select Lager
487,style,American Pale Lager
487,ounces,12
487,abv,0.05
487,ibu,14
487,brewery_id,197
487,brewery-name,Burnside Brewing Co.
487,city,Portland
487,state,OR
488,id,668
488,beer-name,Mucho Aloha Hawaiian Pale Ale
488,style,American Pale Ale (APA)
488,ounces,12
488,abv,0.056
488,ibu,36
488,brewery_id,517
488,brewery-name,Butcher's Brewing
488,city,Carlsbad
488,state,CA
489,id,52
489,beer-name,Heinnieweisse Weissebier
489,style,Hefeweizen
489,ounces,12
489,abv,0.049
489,ibu,""
489,brewery_id,556
489,brewery-name,Butternuts Beer and Ale
489,city,Garrattsville
489,state,NY
490,id,51
490,beer-name,Snapperhead IPA
490,style,American IPA
490,ounces,12
490,abv,0.068
490,ibu,""
490,brewery_id,556
490,brewery-name,Butternuts Beer and Ale
490,city,Garrattsville
490,state,NY
491,id,50
491,beer-name,Moo Thunder Stout
491,style,Milk / Sweet Stout
491,ounces,12
491,abv,0.049
491,ibu,""
491,brewery_id,556
491,brewery-name,Butternuts Beer and Ale
491,city,Garrattsville
491,state,NY
492,id,49
492,beer-name,Porkslap Pale Ale
492,style,American Pale Ale (APA)
492,ounces,12
492,abv,0.043
492,ibu,""
492,brewery_id,556
492,brewery-name,Butternuts Beer and Ale
492,city,Garrattsville
492,state,NY
493,id,2657
493,beer-name,Blackbeard
493,style,American Double / Imperial Stout
493,ounces,12
493,abv,0.093
493,ibu,""
493,brewery_id,5
493,brewery-name,COAST Brewing Company
493,city,Charleston
493,state,SC
494,id,2656
494,beer-name,Rye Knot
494,style,American Brown Ale
494,ounces,12
494,abv,0.062
494,ibu,""
494,brewery_id,5
494,brewery-name,COAST Brewing Company
494,city,Charleston
494,state,SC
495,id,2655
495,beer-name,Dead Arm
495,style,American Pale Ale (APA)
495,ounces,12
495,abv,0.06
495,ibu,""
495,brewery_id,5
495,brewery-name,COAST Brewing Company
495,city,Charleston
495,state,SC
496,id,2654
496,beer-name,32°/50° Kölsch
496,style,Kölsch
496,ounces,16
496,abv,0.048
496,ibu,""
496,brewery_id,5
496,brewery-name,COAST Brewing Company
496,city,Charleston
496,state,SC
497,id,2653
497,beer-name,HopArt
497,style,American IPA
497,ounces,16
497,abv,0.077
497,ibu,""
497,brewery_id,5
497,brewery-name,COAST Brewing Company
497,city,Charleston
497,state,SC
498,id,2652
498,beer-name,Boy King
498,style,American Double / Imperial IPA
498,ounces,16
498,abv,0.097
498,ibu,""
498,brewery_id,5
498,brewery-name,COAST Brewing Company
498,city,Charleston
498,state,SC
499,id,2252
499,beer-name,Gran Sport
499,style,American Porter
499,ounces,16
499,abv,0.052
499,ibu,""
499,brewery_id,182
499,brewery-name,COOP Ale Works
499,city,Oklahoma City
499,state,OK
500,id,2214
500,beer-name,Horny Toad Cerveza
500,style,American Blonde Ale
500,ounces,16
500,abv,0.053
500,ibu,25
500,brewery_id,182
500,brewery-name,COOP Ale Works
500,city,Oklahoma City
500,state,OK
501,id,2213
501,beer-name,Native Amber
501,style,American Amber / Red Ale
501,ounces,16
501,abv,0.063
501,ibu,35
501,brewery_id,182
501,brewery-name,COOP Ale Works
501,city,Oklahoma City
501,state,OK
502,id,1442
502,beer-name,F5 IPA
502,style,American IPA
502,ounces,16
502,abv,0.068
502,ibu,100
502,brewery_id,182
502,brewery-name,COOP Ale Works
502,city,Oklahoma City
502,state,OK
503,id,170
503,beer-name,Native Amber (2013)
503,style,American Amber / Red Ale
503,ounces,16
503,abv,0.063
503,ibu,35
503,brewery_id,182
503,brewery-name,COOP Ale Works
503,city,Oklahoma City
503,state,OK
504,id,169
504,beer-name,Horny Toad Cerveza (2013)
504,style,American Blonde Ale
504,ounces,16
504,abv,0.053
504,ibu,25
504,brewery_id,182
504,brewery-name,COOP Ale Works
504,city,Oklahoma City
504,state,OK
505,id,2315
505,beer-name,Hopportunity Knocks IPA
505,style,American IPA
505,ounces,12
505,abv,0.068
505,ibu,100
505,brewery_id,155
505,brewery-name,Caldera Brewing Company
505,city,Ashland
505,state,OR
506,id,1808
506,beer-name,Pilot Rock Porter
506,style,American Porter
506,ounces,12
506,abv,0.06
506,ibu,""
506,brewery_id,155
506,brewery-name,Caldera Brewing Company
506,city,Ashland
506,state,OR
507,id,1419
507,beer-name,Caldera Pale Ale
507,style,American Pale Ale (APA)
507,ounces,12
507,abv,0.056
507,ibu,55
507,brewery_id,155
507,brewery-name,Caldera Brewing Company
507,city,Ashland
507,state,OR
508,id,878
508,beer-name,Lawnmower Lager
508,style,American Adjunct Lager
508,ounces,12
508,abv,0.039
508,ibu,16
508,brewery_id,155
508,brewery-name,Caldera Brewing Company
508,city,Ashland
508,state,OR
509,id,794
509,beer-name,Ashland Amber Ale (2009)
509,style,American Amber / Red Ale
509,ounces,12
509,abv,0.054
509,ibu,24
509,brewery_id,155
509,brewery-name,Caldera Brewing Company
509,city,Ashland
509,state,OR
510,id,793
510,beer-name,Caldera IPA (2009)
510,style,American IPA
510,ounces,12
510,abv,0.061
510,ibu,94
510,brewery_id,155
510,brewery-name,Caldera Brewing Company
510,city,Ashland
510,state,OR
511,id,792
511,beer-name,Caldera IPA (2007)
511,style,American IPA
511,ounces,12
511,abv,0.061
511,ibu,94
511,brewery_id,155
511,brewery-name,Caldera Brewing Company
511,city,Ashland
511,state,OR
512,id,791
512,beer-name,Caldera Pale Ale (2010)
512,style,American Pale Ale (APA)
512,ounces,12
512,abv,0.056
512,ibu,55
512,brewery_id,155
512,brewery-name,Caldera Brewing Company
512,city,Ashland
512,state,OR
513,id,790
513,beer-name,Caldera Pale Ale (2009)
513,style,American Pale Ale (APA)
513,ounces,12
513,abv,0.056
513,ibu,55
513,brewery_id,155
513,brewery-name,Caldera Brewing Company
513,city,Ashland
513,state,OR
514,id,789
514,beer-name,Caldera Pale Ale (2005)
514,style,American Pale Ale (APA)
514,ounces,12
514,abv,0.056
514,ibu,55
514,brewery_id,155
514,brewery-name,Caldera Brewing Company
514,city,Ashland
514,state,OR
515,id,788
515,beer-name,Caldera Pale Ale (2007)
515,style,American Pale Ale (APA)
515,ounces,12
515,abv,0.056
515,ibu,55
515,brewery_id,155
515,brewery-name,Caldera Brewing Company
515,city,Ashland
515,state,OR
516,id,38
516,beer-name,Caldera Pale Ale (2011)
516,style,American Pale Ale (APA)
516,ounces,12
516,abv,0.056
516,ibu,55
516,brewery_id,155
516,brewery-name,Caldera Brewing Company
516,city,Ashland
516,state,OR
517,id,37
517,beer-name,Ashland Amber Ale
517,style,American Amber / Red Ale
517,ounces,12
517,abv,0.054
517,ibu,24
517,brewery_id,155
517,brewery-name,Caldera Brewing Company
517,city,Ashland
517,state,OR
518,id,36
518,beer-name,Caldera IPA
518,style,American IPA
518,ounces,12
518,abv,0.061
518,ibu,94
518,brewery_id,155
518,brewery-name,Caldera Brewing Company
518,city,Ashland
518,state,OR
519,id,2257
519,beer-name,Remain in Light
519,style,American Pilsner
519,ounces,12
519,abv,0.05
519,ibu,""
519,brewery_id,178
519,brewery-name,Cambridge Brewing Company
519,city,Cambridge
519,state,MA
520,id,2256
520,beer-name,Flower Child (2014)
520,style,American IPA
520,ounces,12
520,abv,0.065
520,ibu,""
520,brewery_id,178
520,brewery-name,Cambridge Brewing Company
520,city,Cambridge
520,state,MA
521,id,870
521,beer-name,THP White (2006)
521,style,Witbier
521,ounces,12
521,abv,""
521,ibu,""
521,brewery_id,497
521,brewery-name,Cans Bar and Canteen
521,city,Charlotte
521,state,NC
522,id,869
522,beer-name,THP Amber (2006)
522,style,American Amber / Red Ale
522,ounces,12
522,abv,""
522,ibu,""
522,brewery_id,497
522,brewery-name,Cans Bar and Canteen
522,city,Charlotte
522,state,NC
523,id,868
523,beer-name,THP Light (2006)
523,style,American Blonde Ale
523,ounces,12
523,abv,""
523,ibu,""
523,brewery_id,497
523,brewery-name,Cans Bar and Canteen
523,city,Charlotte
523,state,NC
524,id,867
524,beer-name,THP Dark (2006)
524,style,English Dark Mild Ale
524,ounces,12
524,abv,""
524,ibu,""
524,brewery_id,497
524,brewery-name,Cans Bar and Canteen
524,city,Charlotte
524,state,NC
525,id,2068
525,beer-name,Imperial Pumpkin Stout
525,style,Pumpkin Ale
525,ounces,16
525,abv,0.099
525,ibu,43
525,brewery_id,230
525,brewery-name,Cape Ann Brewing Company
525,city,Gloucester
525,state,MA
526,id,2067
526,beer-name,Dead-Eye DIPA
526,style,American Double / Imperial IPA
526,ounces,16
526,abv,0.09
526,ibu,130
526,brewery_id,230
526,brewery-name,Cape Ann Brewing Company
526,city,Gloucester
526,state,MA
527,id,2066
527,beer-name,Fisherman's IPA
527,style,American IPA
527,ounces,12
527,abv,0.055
527,ibu,64
527,brewery_id,230
527,brewery-name,Cape Ann Brewing Company
527,city,Gloucester
527,state,MA
528,id,2065
528,beer-name,Fisherman's Pils
528,style,German Pilsener
528,ounces,12
528,abv,0.054
528,ibu,35
528,brewery_id,230
528,brewery-name,Cape Ann Brewing Company
528,city,Gloucester
528,state,MA
529,id,2064
529,beer-name,Fisherman's Brew
529,style,American Amber / Red Ale
529,ounces,12
529,abv,0.055
529,ibu,30
529,brewery_id,230
529,brewery-name,Cape Ann Brewing Company
529,city,Gloucester
529,state,MA
530,id,1928
530,beer-name,Cape Cod Red
530,style,American Amber / Red Ale
